env_id,success,done_reason_code,done_reason,duration_sec,survival_ratio,v_cmd_mean,v_fwd_mean,v_fwd_rmse,yaw_drift_abs_final,yaw_rate_abs_mean,roll_rms,pitch_rms,tilt_rms,vertical_bounce_rms,base_z_min,contact_continuity_score,diag_support_asym_score,swing_scuff_count,residual_rms,residual_rate_rms,joint_vel_rms,return_total,completed_episode_index,completed_wall_time_s
22,1,1,timeout,10.0,1.0,0.26281434297561646,0.12544870376586914,0.22505807876586914,0.07095807045698166,0.023049140349030495,0.015055365860462189,0.009246566332876682,0.01766813601206021,0.14454026520252228,0.864944338798523,0.4583333432674408,0.7683333158493042,89.0,0.4938037097454071,0.3506539762020111,0.4490707516670227,159.30613708496094,54,1776652583.0164366
23,1,1,timeout,10.0,1.0,0.18247216939926147,0.14268966019153595,0.18629521131515503,0.0187857523560524,0.023619841784238815,0.017181815579533577,0.012152285315096378,0.0210450190066108,0.13950195908546448,0.8703000545501709,0.4583333432674408,0.7599999904632568,87.25,0.4932379126548767,0.35454148054122925,0.46362560987472534,192.46897888183594,55,1776652583.0164366
24,1,1,timeout,10.0,1.0,0.13957834243774414,0.12252185493707657,0.17376799881458282,0.047223933041095734,0.029482532292604446,0.022755082696676254,0.02342371642589569,0.03265676468564133,0.14869803190231323,0.8713889718055725,0.4416666626930237,0.7116666436195374,86.5,0.4657933712005615,0.3576734662055969,0.458076149225235,184.82928466796875,56,1776652583.0164366
25,1,1,timeout,10.0,1.0,0.0587584413588047,0.14273780584335327,0.18949517607688904,0.019738977774977684,0.025917815044522285,0.018039027228951454,0.014556169509887695,0.023179486063488037,0.14313648641109467,0.8659785389900208,0.46000000834465027,0.753333330154419,89.25,0.47540682554244995,0.355253130197525,0.46878311038017273,180.67332458496094,57,1776652583.0164366
26,1,1,timeout,10.0,1.0,0.2974570393562317,0.1098979189991951,0.24464498460292816,0.04467971622943878,0.024366384372115135,0.013600197620689869,0.011563342064619064,0.017851505679499616,0.14209359884262085,0.8662735819816589,0.46166667342185974,0.7566666603088379,87.0,0.5068398118019104,0.3530619144439697,0.4593017101287842,159.24070739746094,58,1776652583.0164366
27,1,1,timeout,10.0,1.0,0.11872099339962006,0.14247488975524902,0.17712873220443726,0.04996217042207718,0.02976635843515396,0.016757886856794357,0.011770074255764484,0.020478315846068275,0.14246182143688202,0.8652938604354858,0.4300000071525574,0.7549999952316284,88.0,0.47945719957351685,0.351788729429245,0.4634201228618622,167.197998046875,59,1776652583.0164366
28,1,1,timeout,10.0,1.0,0.1539112627506256,0.1557549089193344,0.1666334867477417,0.03279600664973259,0.02933787927031517,0.014771625399589539,0.012422486208379269,0.019300753367243774,0.1407974660396576,0.8639310002326965,0.43833333253860474,0.7766666412353516,88.5,0.47270211577415466,0.35832324624061584,0.45294320583343506,181.33035278320312,60,1776652583.0164366
29,1,1,timeout,10.0,1.0,0.16573451459407806,0.1629549115896225,0.188522070646286,0.007862221449613571,0.0220193974673748,0.015222612768411636,0.012050747871398926,0.019415160667814076,0.14320126175880432,0.8683168292045593,0.4449999928474426,0.7316666841506958,87.25,0.46663668751716614,0.354132741689682,0.46279990673065186,192.84999084472656,61,1776652583.0164366
30,1,1,timeout,10.0,1.0,0.26806625723838806,0.14374329149723053,0.19191975891590118,0.03056374564766884,0.02324542962014675,0.015122981742024422,0.01336929202079773,0.02018520611504797,0.13185806572437286,0.8693718314170837,0.48500001430511475,0.7649999856948853,88.25,0.48278048634529114,0.3531092405319214,0.45529860258102417,200.0054168701172,62,1776652583.0164366
31,1,1,timeout,10.0,1.0,0.25390690565109253,0.11993345618247986,0.23872269690036774,0.04139453172683716,0.03199699893593788,0.015701206400990486,0.019718028604984283,0.025205724241002935,0.13660982251167297,0.8665910363197327,0.4350000023841858,0.7149999737739563,87.25,0.4744732081890106,0.3552800416946411,0.463146448135376,155.37496948242188,63,1776652583.0164366
0,1,1,timeout,10.0,1.0,0.06805159151554108,0.17195454239845276,0.20824840664863586,0.008293438702821732,0.020120074972510338,0.01733149215579033,0.0116477245464921,0.020881812839338838,0.13391348719596863,0.8661976456642151,0.46666666865348816,0.7316666841506958,89.75,0.5055530667304993,0.35092517733573914,0.4609297811985016,178.46591186523438,64,1776652596.702698
1,1,1,timeout,10.0,1.0,0.10973116755485535,0.11772254854440689,0.17242737114429474,0.009465999901294708,0.03029431402683258,0.016755174845457077,0.014407352544367313,0.02209768520545817,0.13630758225917816,0.8643624186515808,0.46000000834465027,0.7416666746139526,85.5,0.5064171552658081,0.3511567711830139,0.4518548846244812,202.1855010986328,65,1776652596.702698
2,1,1,timeout,10.0,1.0,0.11782869696617126,0.16556917130947113,0.17583082616329193,0.010263310745358467,0.023433290421962738,0.018997058272361755,0.01804082654416561,0.026198466470390567,0.1465875208377838,0.8650928139686584,0.44999998807907104,0.7083333134651184,88.0,0.5123720169067383,0.3490585684776306,0.4530874490737915,195.71591186523438,66,1776652596.702698
3,1,1,timeout,10.0,1.0,0.2559998631477356,0.18141689896583557,0.1841728687286377,0.019133323803544044,0.02790982648730278,0.015762556344270706,0.008661942556500435,0.01798575634657664,0.13710153102874756,0.8631134629249573,0.4583333432674408,0.7283333539962769,88.25,0.49518299102783203,0.35559383034706116,0.45153412222862244,191.22084045410156,67,1776652596.702698
4,1,1,timeout,10.0,1.0,0.2449372410774231,0.14402107894420624,0.20146743953227997,0.03743012621998787,0.028352534398436546,0.01758040115237236,0.014603267423808575,0.02285445086038175,0.13536570966243744,0.8673695921897888,0.4633333384990692,0.7749999761581421,90.5,0.5107391476631165,0.35263147950172424,0.45197445154190063,168.4104461669922,68,1776652596.702698
5,1,1,timeout,10.0,1.0,0.057831645011901855,0.1456223577260971,0.18276384472846985,0.04564068466424942,0.024086693301796913,0.01520818006247282,0.007943288423120975,0.017157638875599505,0.14228227734565735,0.866538405418396,0.4833333194255829,0.7450000047683716,89.0,0.49779626727104187,0.35410603880882263,0.46049949526786804,185.86709594726562,69,1776652596.702698
