ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
1879,1,timeout,15.0,0.10814713686704636,0.05472294241189957,0.008415702730417252,0.00896297488361597,0.0065787384087918595,0.1026831641793251,147.25,369.5832214355469
1880,1,timeout,15.0,0.2336033284664154,0.0858125239610672,0.0047086505219340324,0.007000033278018236,0.007751468483656264,0.1020759865641594,149.75,344.37335205078125
1881,1,timeout,15.0,0.23632009327411652,0.09082596749067307,0.011345215141773224,0.005800997838377953,0.00815002296661059,0.10320428758859634,150.75,328.21868896484375
1882,1,timeout,15.0,0.13670210540294647,0.054649192839860916,0.0140208899974823,0.007925698533654213,0.0065414476173081635,0.10308536142110825,149.75,366.7380676269531
1883,1,timeout,15.0,0.13393481075763702,0.0558706670999527,0.007223297376185656,0.006181630771607161,0.006978638084551398,0.10319908708333969,151.0,375.494384765625
1884,1,timeout,15.0,0.13700798153877258,0.05663900449872017,0.013869495131075382,0.007121159695088863,0.006205195770789248,0.10222382843494415,147.0,363.9263610839844
1885,1,timeout,15.0,0.09615913033485413,0.06205231696367264,0.017000822350382805,0.009756824932992458,0.006965327173169834,0.10956068336963654,145.75,348.0994567871094
1886,1,timeout,15.0,0.1404407024383545,0.05856246501207352,0.022266745567321777,0.006904957350343466,0.0069620058227576696,0.10630899667739868,148.75,361.85693359375
1887,1,timeout,15.0,0.18069252371788025,0.06428291648626328,0.02857147343456745,0.007431684527546167,0.006941099942594301,0.10698378086090088,149.5,344.9543762207031
1888,1,timeout,15.0,0.16896915435791016,0.059986088424921036,0.013222044333815575,0.007459502201527357,0.007848282470110976,0.10322867333889008,149.25,364.8882141113281
1889,1,timeout,15.0,0.13601930439472198,0.05259840935468674,0.009136103093624115,0.00798899494111538,0.00656517310541587,0.1056746169924736,149.25,369.9953308105469
1890,1,timeout,15.0,0.14729054272174835,0.060308292508125305,0.0026355888694524765,0.006506617646664381,0.005731940753319201,0.10181929916143417,150.75,369.009765625
1891,1,timeout,15.0,0.16548694670200348,0.0642460510134697,0.007673898711800575,0.007193420547991991,0.007468654112628579,0.1028050109744072,151.0,363.1155090332031
1892,1,timeout,15.0,0.14091001451015472,0.056470781564712524,0.015323653817176819,0.008260947652161121,0.007053562244264029,0.10246582329273224,149.5,355.034912109375
1893,1,timeout,15.0,0.14830461144447327,0.052701953798532486,0.002125035971403122,0.007352735847234726,0.00661181864647518,0.10806103050708771,150.75,368.29296875
1894,1,timeout,15.0,0.1145591288805008,0.05182628706097603,0.019109785556793213,0.009182389825582504,0.006200484665410484,0.1055893674492836,149.25,368.7814636230469
1895,1,timeout,15.0,0.10947525501251221,0.057206571102142334,0.0008211433887481689,0.008522415533661842,0.00616174127481331,0.10732073336839676,148.0,372.6961669921875
1896,1,timeout,15.0,0.09773989021778107,0.061056699603796005,0.013993979431688786,0.009323986247181892,0.007491675007647267,0.10621719807386398,147.5,353.3695983886719
1897,1,timeout,15.0,0.15130767226219177,0.057548437267541885,0.003261536592617631,0.006509318016469479,0.00581532379867758,0.10372015088796616,149.25,371.7610168457031
1898,1,timeout,15.0,0.13820423185825348,0.05666029825806618,0.004539574030786753,0.007701891474425793,0.007058620532746849,0.10365919023752213,149.0,372.67901611328125
1899,1,timeout,15.0,0.211491197347641,0.06920310854911804,0.021435052156448364,0.007634551730006933,0.008897840645973664,0.1054643914103508,149.0,342.05133056640625
1900,1,timeout,15.0,0.11632346361875534,0.057461515069007874,0.018084034323692322,0.0077446224167943,0.005593733204590707,0.10387342423200607,148.25,365.3240661621094
1901,1,timeout,15.0,0.23171718418598175,0.0883226990699768,0.001996481791138649,0.0073755057528615,0.009123941182966649,0.10834347456693649,148.5,330.12506103515625
1902,1,timeout,15.0,0.1993291825056076,0.0684710368514061,9.029172360897064e-05,0.007168094627559185,0.008932196942367016,0.10410965979099274,150.75,355.28497314453125
1903,1,timeout,15.0,0.2385624796152115,0.08522886782884598,0.012839507311582565,0.0068582212552428246,0.008772964514043802,0.10646891593933105,151.0,332.60614013671875
1904,1,timeout,15.0,0.19659076631069183,0.06308545917272568,0.008524836972355843,0.0069467537105083466,0.008911648688082849,0.10349414497613907,149.25,355.8566589355469
1905,1,timeout,15.0,0.18580713868141174,0.06894425302743912,0.0007311515510082245,0.008585527539253235,0.00803850731328414,0.10850900411605835,150.0,355.7719421386719
1906,1,timeout,15.0,0.2118527591228485,0.06597419828176498,0.0001889653503894806,0.008141874335706234,0.00923651928328691,0.10719341784715652,148.25,345.7480163574219
1907,1,timeout,15.0,0.144398033618927,0.05817967653274536,0.0015725619159638882,0.0076054916717112064,0.0077633725145424375,0.11338184773921967,148.5,364.162109375
1908,1,timeout,15.0,0.12124215066432953,0.054358430206775665,0.02804158627986908,0.0075226048938930035,0.005720307931687815,0.11442889273166656,147.25,361.25396728515625
1909,1,timeout,15.0,0.15824361145496368,0.05709947273135185,0.017563138157129288,0.008750892244279385,0.007338797115123291,0.10227996855974197,149.25,365.4410705566406
1910,1,timeout,15.0,0.13615679740905762,0.055161233991384506,0.008650459349155426,0.00681865680962801,0.00574483963225228,0.10513515025377274,148.0,373.22772216796875
1911,1,timeout,15.0,0.23647582530975342,0.08395892381668091,0.0010788924992084503,0.0069917053915560246,0.008767393574105746,0.10741545259952545,150.25,340.9013366699219
1912,1,timeout,15.0,0.10799483954906464,0.05290187895298004,0.003433719277381897,0.00832870788872242,0.005757322652402824,0.10362668335437775,148.25,380.3510437011719
